bori_id,sans
01001016,तस्याख्यानवरिष्ठस्य विचित्रपदपर्वणः। सूक्ष्मार्थन्याययुक्तस्य वेदार्थैर्भूषितस्य च।
01001017,भारतस्येतिहासस्य पुण्यां ग्रन्थार्थसंयुताम्। संस्कारोपगतां ब्राह्मीं नानाशास्त्रोपबृंहिताम्।
01001018,जनमेजयस्य यां राज्ञो वैशंपायन उक्तवान्। यथावत्स ऋषिस्तुष्ट्या सत्रे द्वैपायनाज्ञया।
01001019,वेदैश्चतुर्भिः समितां व्यासस्याद्भुतकर्मणः। संहितां श्रोतुमिच्छामो धर्म्यां पापभयापहाम्।
01001020h,सूत उवाच। आद्यं पुरुषमीशानं पुरुहूतं पुरुष्टुतम्। ऋतमेकाक्षरं ब्रह्म व्यक्ताव्यक्तं सनातनम्।
01001021,असच्च सच्चैव च यद्विश्वं सदसतः परम्। परावराणां स्रष्टारं पुराणं परमव्ययम्।
01001022,मङ्गल्यं मङ्गलं विष्णुं वरेण्यमनघं शुचिम्। नमस्कृत्य हृषीकेशं चराचरगुरुं हरिम्।
01001023,महर्षेः पूजितस्येह सर्वलोके महात्मनः। प्रवक्ष्यामि मतं कृत्स्नं व्यासस्यामिततेजसः।
01001024,आचख्युः कवयः केचित्संप्रत्याचक्षते परे। आख्यास्यन्ति तथैवान्ये इतिहासमिमं भुवि।
01001025,इदं तु त्रिषु लोकेषु महज्ज्ञानं प्रतिष्ठितम्। विस्तरैश्च समासैश्च धार्यते यद्द्विजातिभिः।
01001026,अलंकृतं शुभैः शब्दैः समयैर्दिव्यमानुषैः। छन्दोवृत्तैश्च विविधैरन्वितं विदुषां प्रियम्।
01001027,निष्प्रभेऽस्मिन्निरालोके सर्वतस्तमसावृते। बृहदण्डमभूदेकं प्रजानां बीजमक्षयम्।
01001028,युगस्यादौ निमित्तं तन्महद्दिव्यं प्रचक्षते। यस्मिंस्तच्छ्रूयते सत्यं ज्योतिर्ब्रह्म सनातनम्।
01001029,अद्भुतं चाप्यचिन्त्यं च सर्वत्र समतां गतम्। अव्यक्तं कारणं सूक्ष्मं यत्तत्सदसदात्मकम्।
01001030,यस्मात्पितामहो जज्ञे प्रभुरेकः प्रजापतिः। ब्रह्मा सुरगुरुः स्थाणुर्मनुः कः परमेष्ठ्यथ।
01001031,प्राचेतसस्तथा दक्षो दक्षपुत्राश्च सप्त ये। ततः प्रजानां पतयः प्राभवन्नेकविंशतिः।
01001032,पुरुषश्चाप्रमेयात्मा यं सर्वमृषयो विदुः। विश्वेदेवास्तथादित्या वसवोऽथाश्विनावपि।
01001033,यक्षाः साध्याः पिशाचाश्च गुह्यकाः पितरस्तथा। ततः प्रसूता विद्वांसः शिष्टा ब्रह्मर्षयोऽमलाः।
01001034,राजर्षयश्च बहवः सर्वैः समुदिता गुणैः। आपो द्यौः पृथिवी वायुरन्तरिक्षं दिशस्तथा।
01001035,संवत्सरर्तवो मासाः पक्षाहोरात्रयः क्रमात्। यच्चान्यदपि तत्सर्वं संभूतं लोकसाक्षिकम्।
01001036,यदिदं दृश्यते किंचिद्भूतं स्थावरजङ्गमम्। पुनः संक्षिप्यते सर्वं जगत्प्राप्ते युगक्षये।
01001037,यथर्तावृतुलिङ्गानि नानारूपाणि पर्यये। दृश्यन्ते तानि तान्येव तथा भावा युगादिषु।
01001038,एवमेतदनाद्यन्तं भूतसंहारकारकम्। अनादिनिधनं लोके चक्रं संपरिवर्तते।
01001039,त्रयस्त्रिंशत्सहस्राणि त्रयस्त्रिंशच्छतानि च। त्रयस्त्रिंशच्च देवानां सृष्टिः संक्षेपलक्षणा।
01001040,दिवस्पुत्रो बृहद्भानुश्चक्षुरात्मा विभावसुः। सविता च ऋचीकोऽर्को भानुराशावहो रविः।
01001041,पुत्रा विवस्वतः सर्वे मह्यस्तेषां तथावरः। देवभ्राट्तनयस्तस्य तस्मात्सुभ्राडिति स्मृतः।
01001042,सुभ्राजस्तु त्रयः पुत्राः प्रजावन्तो बहुश्रुताः। दशज्योतिः शतज्योतिः सहस्रज्योतिरात्मवान्।
01001043,दश पुत्रसहस्राणि दशज्योतेर्महात्मनः। ततो दशगुणाश्चान्ये शतज्योतेरिहात्मजाः।
01001044,भूयस्ततो दशगुणाः सहस्रज्योतिषः सुताः। तेभ्योऽयं कुरुवंशश्च यदूनां भरतस्य च।
01001045,ययातीक्ष्वाकुवंशश्च राजर्षीणां च सर्वशः। संभूता बहवो वंशा भूतसर्गाः सविस्तराः।
01001046,भूतस्थानानि सर्वाणि रहस्यं त्रिविधं च यत्। वेदयोगं सविज्ञानं धर्मोऽर्थः काम एव च।
01001047,धर्मकामार्थशास्त्राणि शास्त्राणि विविधानि च। लोकयात्राविधानं च संभूतं दृष्टवानृषिः।
01001048,इतिहासाः सवैयाख्या विविधाः श्रुतयोऽपि च। इह सर्वमनुक्रान्तमुक्तं ग्रन्थस्य लक्षणम्।
01001049,विस्तीर्यैतन्महज्ज्ञानमृषिः संक्षेपमब्रवीत्। इष्टं हि विदुषां लोके समासव्यासधारणम्।
01001050,मन्वादि भारतं केचिदास्तीकादि तथापरे। तथोपरिचराद्यन्ये विप्राः सम्यगधीयते।
01001051,विविधं संहिताज्ञानं दीपयन्ति मनीषिणः। व्याख्यातुं कुशलाः केचिद्ग्रन्थं धारयितुं परे।
01001052,तपसा ब्रह्मचर्येण व्यस्य वेदं सनातनम्। इतिहासमिमं चक्रे पुण्यं सत्यवतीसुतः।
01001053,पराशरात्मजो विद्वान्ब्रह्मर्षिः संशितव्रतः। मातुर्नियोगाद्धर्मात्मा गाङ्गेयस्य च धीमतः।
01001054,क्षेत्रे विचित्रवीर्यस्य कृष्णद्वैपायनः पुरा। त्रीनग्नीनिव कौरव्याञ्जनयामास वीर्यवान्।
01001055,उत्पाद्य धृतराष्ट्रं च पाण्डुं विदुरमेव च। जगाम तपसे धीमान्पुनरेवाश्रमं प्रति।
01001056,तेषु जातेषु वृद्धेषु गतेषु परमां गतिम्। अब्रवीद्भारतं लोके मानुषेऽस्मिन्महानृषिः।
01001057,जनमेजयेन पृष्टः सन्ब्राह्मणैश्च सहस्रशः। शशास शिष्यमासीनं वैशंपायनमन्तिके।
01001058,स सदस्यैः सहासीनः श्रावयामास भारतम्। कर्मान्तरेषु यज्ञस्य चोद्यमानः पुनः पुनः।
01001059,विस्तरं कुरुवंशस्य गान्धार्या धर्मशीलताम्। क्षत्तुः प्रज्ञां धृतिं कुन्त्याः सम्यग्द्वैपायनोऽब्रवीत्।
01001060,वासुदेवस्य माहात्म्यं पाण्डवानां च सत्यताम्। दुर्वृत्तं धार्तराष्ट्राणामुक्तवान्भगवानृषिः।
01001061,चतुर्विंशतिसाहस्रीं चक्रे भारतसंहिताम्। उपाख्यानैर्विना तावद्भारतं प्रोच्यते बुधैः।
01001062,ततोऽध्यर्धशतं भूयः संक्षेपं कृतवानृषिः। अनुक्रमणिमध्यायं वृत्तान्तानां सपर्वणाम्।
01001063,इदं द्वैपायनः पूर्वं पुत्रमध्यापयच्छुकम्। ततोऽन्येभ्योऽनुरूपेभ्यः शिष्येभ्यः प्रददौ प्रभुः।
01001064,नारदोऽश्रावयद्देवानसितो देवलः पितॄन्। गन्धर्वयक्षरक्षांसि श्रावयामास वै शुकः।
01001065,दुर्योधनो मन्युमयो महाद्रुमः; स्कन्धः कर्णः शकुनिस्तस्य शाखाः। दुःशासनः पुष्पफले समृद्धे; मूलं राजा धृतराष्ट्रोऽमनीषी।
01001066,युधिष्ठिरो धर्ममयो महाद्रुमः; स्कन्धोऽर्जुनो भीमसेनोऽस्य शाखाः। माद्रीसुतौ पुष्पफले समृद्धे; मूलं कृष्णो ब्रह्म च ब्राह्मणाश्च।
01001067,पाण्डुर्जित्वा बहून्देशान्युधा विक्रमणेन च। अरण्ये मृगयाशीलो न्यवसत्सजनस्तदा।
01001068,मृगव्यवायनिधने कृच्छ्रां प्राप स आपदम्। जन्मप्रभृति पार्थानां तत्राचारविधिक्रमः।
01001069,मात्रोरभ्युपपत्तिश्च धर्मोपनिषदं प्रति। धर्मस्य वायोः शक्रस्य देवयोश्च तथाश्विनोः।
01001070,तापसैः सह संवृद्धा मातृभ्यां परिरक्षिताः। मेध्यारण्येषु पुण्येषु महतामाश्रमेषु च।
01001071,ऋषिभिश्च तदानीता धार्तराष्ट्रान्प्रति स्वयम्। शिशवश्चाभिरूपाश्च जटिला ब्रह्मचारिणः।
01001072,पुत्राश्च भ्रातरश्चेमे शिष्याश्च सुहृदश्च वः। पाण्डवा एत इत्युक्त्वा मुनयोऽन्तर्हितास्ततः।
01001073,तांस्तैर्निवेदितान्दृष्ट्वा पाण्डवान्कौरवास्तदा। शिष्टाश्च वर्णाः पौरा ये ते हर्षाच्चुक्रुशुर्भृशम्।
01001074,आहुः केचिन्न तस्यैते तस्यैत इति चापरे। यदा चिरमृतः पाण्डुः कथं तस्येति चापरे।
01001075,स्वागतं सर्वथा दिष्ट्या पाण्डोः पश्याम संततिम्। उच्यतां स्वागतमिति वाचोऽश्रूयन्त सर्वशः।
01001076,तस्मिन्नुपरते शब्दे दिशः सर्वा विनादयन्। अन्तर्हितानां भूतानां निस्वनस्तुमुलोऽभवत्।
01001077,पुष्पवृष्टिः शुभा गन्धाः शङ्खदुन्दुभिनिस्वनाः। आसन्प्रवेशे पार्थानां तदद्भुतमिवाभवत्।
01001078,तत्प्रीत्या चैव सर्वेषां पौराणां हर्षसंभवः। शब्द आसीन्महांस्तत्र दिवस्पृक्कीर्तिवर्धनः।
01001079,तेऽप्यधीत्याखिलान्वेदाञ्शास्त्राणि विविधानि च। न्यवसन्पाण्डवास्तत्र पूजिता अकुतोभयाः।
01001080,युधिष्ठिरस्य शौचेन प्रीताः प्रकृतयोऽभवन्। धृत्या च भीमसेनस्य विक्रमेणार्जुनस्य च।
01001081,गुरुशुश्रूषया कुन्त्या यमयोर्विनयेन च। तुतोष लोकः सकलस्तेषां शौर्यगुणेन च।
01001082,समवाये ततो राज्ञां कन्यां भर्तृस्वयंवराम्। प्राप्तवानर्जुनः कृष्णां कृत्वा कर्म सुदुष्करम्।
01001083,ततः प्रभृति लोकेऽस्मिन्पूज्यः सर्वधनुष्मताम्। आदित्य इव दुष्प्रेक्ष्यः समरेष्वपि चाभवत्।
01001084,स सर्वान्पार्थिवाञ्जित्वा सर्वांश्च महतो गणान्। आजहारार्जुनो राज्ञे राजसूयं महाक्रतुम्।
01001085,अन्नवान्दक्षिणावांश्च सर्वैः समुदितो गुणैः। युधिष्ठिरेण संप्राप्तो राजसूयो महाक्रतुः।
01001086,सुनयाद्वासुदेवस्य भीमार्जुनबलेन च। घातयित्वा जरासंधं चैद्यं च बलगर्वितम्।
01001087,दुर्योधनमुपागच्छन्नर्हणानि ततस्ततः। मणिकाञ्चनरत्नानि गोहस्त्यश्वधनानि च।
01001088,समृद्धां तां तथा दृष्ट्वा पाण्डवानां तदा श्रियम्। ईर्ष्यासमुत्थः सुमहांस्तस्य मन्युरजायत।
01001089,विमानप्रतिमां चापि मयेन सुकृतां सभाम्। पाण्डवानामुपहृतां स दृष्ट्वा पर्यतप्यत।
01001090,यत्रावहसितश्चासीत्प्रस्कन्दन्निव संभ्रमात्। प्रत्यक्षं वासुदेवस्य भीमेनानभिजातवत्।
01001091,स भोगान्विविधान्भुञ्जन्रत्नानि विविधानि च। कथितो धृतराष्ट्रस्य विवर्णो हरिणः कृशः।
01001092,अन्वजानात्ततो द्यूतं धृतराष्ट्रः सुतप्रियः। तच्छ्रुत्वा वासुदेवस्य कोपः समभवन्महान्।
01001093,नातिप्रीतमनाश्चासीद्विवादांश्चान्वमोदत। द्यूतादीननयान्घोरान्प्रवृद्धांश्चाप्युपैक्षत।
01001094,निरस्य विदुरं द्रोणं भीष्मं शारद्वतं कृपम्। विग्रहे तुमुले तस्मिन्नहन्क्षत्रं परस्परम्।
01001095,जयत्सु पाण्डुपुत्रेषु श्रुत्वा सुमहदप्रियम्। दुर्योधनमतं ज्ञात्वा कर्णस्य शकुनेस्तथा। धृतराष्ट्रश्चिरं ध्यात्वा संजयं वाक्यमब्रवीत्।
01001096,शृणु संजय मे सर्वं न मेऽसूयितुमर्हसि। श्रुतवानसि मेधावी बुद्धिमान्प्राज्ञसंमतः।
01001097,न विग्रहे मम मतिर्न च प्रीये कुरुक्षये। न मे विशेषः पुत्रेषु स्वेषु पाण्डुसुतेषु च।
01001098,वृद्धं मामभ्यसूयन्ति पुत्रा मन्युपरायणाः। अहं त्वचक्षुः कार्पण्यात्पुत्रप्रीत्या सहामि तत्। मुह्यन्तं चानुमुह्यामि दुर्योधनमचेतनम्।
01001099,राजसूये श्रियं दृष्ट्वा पाण्डवस्य महौजसः। तच्चावहसनं प्राप्य सभारोहणदर्शने।
01001100,अमर्षितः स्वयं जेतुमशक्तः पाण्डवान्रणे। निरुत्साहश्च संप्राप्तुं श्रियमक्षत्रियो यथा। गान्धारराजसहितश्छद्मद्यूतममन्त्रयत्।
01001101,तत्र यद्यद्यथा ज्ञातं मया संजय तच्छृणु। श्रुत्वा हि मम वाक्यानि बुद्ध्या युक्तानि तत्त्वतः। ततो ज्ञास्यसि मां सौते प्रज्ञाचक्षुषमित्युत।
01001102,यदाश्रौषं धनुरायम्य चित्रं; विद्धं लक्ष्यं पातितं वै पृथिव्याम्। कृष्णां हृतां पश्यतां सर्वराज्ञां; तदा नाशंसे विजयाय संजय।
01001103,यदाश्रौषं द्वारकायां सुभद्रां; प्रसह्योढां माधवीमर्जुनेन। इन्द्रप्रस्थं वृष्णिवीरौ च यातौ; तदा नाशंसे विजयाय संजय।
01001104,यदाश्रौषं देवराजं प्रवृष्टं; शरैर्दिव्यैर्वारितं चार्जुनेन। अग्निं तथा तर्पितं खाण्डवे च; तदा नाशंसे विजयाय संजय।
01001105,यदाश्रौषं हृतराज्यं युधिष्ठिरं; पराजितं सौबलेनाक्षवत्याम्। अन्वागतं भ्रातृभिरप्रमेयै;स्तदा नाशंसे विजयाय संजय।
01001106,यदाश्रौषं द्रौपदीमश्रुकण्ठीं; सभां नीतां दुःखितामेकवस्त्राम्। रजस्वलां नाथवतीमनाथव;त्तदा नाशंसे विजयाय संजय।
01001107,यदाश्रौषं विविधास्तात चेष्टा; धर्मात्मनां प्रस्थितानां वनाय। ज्येष्ठप्रीत्या क्लिश्यतां पाण्डवानां; तदा नाशंसे विजयाय संजय।
01001108,यदाश्रौषं स्नातकानां सहस्रै;रन्वागतं धर्मराजं वनस्थम्। भिक्षाभुजां ब्राह्मणानां महात्मनां; तदा नाशंसे विजयाय संजय।
01001109,यदाश्रौषमर्जुनो देवदेवं; किरातरूपं त्र्यम्बकं तोष्य युद्धे। अवाप तत्पाशुपतं महास्त्रं; तदा नाशंसे विजयाय संजय।
01001110,यदाश्रौषं त्रिदिवस्थं धनंजयं; शक्रात्साक्षाद्दिव्यमस्त्रं यथावत्। अधीयानं शंसितं सत्यसंधं; तदा नाशंसे विजयाय संजय।
01001111,यदाश्रौषं वैश्रवणेन सार्धं; समागतं भीममन्यांश्च पार्थान्। तस्मिन्देशे मानुषाणामगम्ये; तदा नाशंसे विजयाय संजय।
01001112,यदाश्रौषं घोषयात्रागतानां; बन्धं गन्धर्वैर्मोक्षणं चार्जुनेन। स्वेषां सुतानां कर्णबुद्धौ रतानां; तदा नाशंसे विजयाय संजय।
01001113,यदाश्रौषं यक्षरूपेण धर्मं; समागतं धर्मराजेन सूत। प्रश्नानुक्तान्विब्रुवन्तं च सम्य;क्तदा नाशंसे विजयाय संजय।
01001114,यदाश्रौषं मामकानां वरिष्ठा;न्धनंजयेनैकरथेन भग्नान्। विराटराष्ट्रे वसता महात्मना; तदा नाशंसे विजयाय संजय।
01001115,यदाश्रौषं सत्कृतां मत्स्यराज्ञा; सुतां दत्तामुत्तरामर्जुनाय। तां चार्जुनः प्रत्यगृह्णात्सुतार्थे; तदा नाशंसे विजयाय संजय।
01001116,यदाश्रौषं निर्जितस्याधनस्य; प्रव्राजितस्य स्वजनात्प्रच्युतस्य। अक्षौहिणीः सप्त युधिष्ठिरस्य; तदा नाशंसे विजयाय संजय।
01001117,यदाश्रौषं नरनारायणौ तौ; कृष्णार्जुनौ वदतो नारदस्य। अहं द्रष्टा ब्रह्मलोके सदेति; तदा नाशंसे विजयाय संजय।
01001118,यदाश्रौषं माधवं वासुदेवं; सर्वात्मना पाण्डवार्थे निविष्टम्। यस्येमां गां विक्रममेकमाहु;स्तदा नाशंसे विजयाय संजय।
01001119,यदाश्रौषं कर्णदुर्योधनाभ्यां; बुद्धिं कृतां निग्रहे केशवस्य। तं चात्मानं बहुधा दर्शयानं; तदा नाशंसे विजयाय संजय।
01001120,यदाश्रौषं वासुदेवे प्रयाते; रथस्यैकामग्रतस्तिष्ठमानाम्। आर्तां पृथां सान्त्वितां केशवेन; तदा नाशंसे विजयाय संजय।
01001121,यदाश्रौषं मन्त्रिणं वासुदेवं; तथा भीष्मं शांतनवं च तेषाम्। भारद्वाजं चाशिषोऽनुब्रुवाणं; तदा नाशंसे विजयाय संजय।
01001122,यदाश्रौषं कर्ण उवाच भीष्मं; नाहं योत्स्ये युध्यमाने त्वयीति। हित्वा सेनामपचक्राम चैव; तदा नाशंसे विजयाय संजय।
01001123,यदाश्रौषं वासुदेवार्जुनौ तौ; तथा धनुर्गाण्डिवमप्रमेयम्। त्रीण्युग्रवीर्याणि समागतानि; तदा नाशंसे विजयाय संजय।
01001124,यदाश्रौषं कश्मलेनाभिपन्ने; रथोपस्थे सीदमानेऽर्जुने वै। कृष्णं लोकान्दर्शयानं शरीरे; तदा नाशंसे विजयाय संजय।
01001125,यदाश्रौषं भीष्मममित्रकर्शनं; निघ्नन्तमाजावयुतं रथानाम्। नैषां कश्चिद्वध्यते दृश्यरूप;स्तदा नाशंसे विजयाय संजय।
01001126,यदाश्रौषं भीष्ममत्यन्तशूरं; हतं पार्थेनाहवेष्वप्रधृष्यम्। शिखण्डिनं पुरतः स्थापयित्वा; तदा नाशंसे विजयाय संजय।
01001127,यदाश्रौषं शरतल्पे शयानं; वृद्धं वीरं सादितं चित्रपुङ्खैः। भीष्मं कृत्वा सोमकानल्पशेषां;स्तदा नाशंसे विजयाय संजय।
01001128,यदाश्रौषं शांतनवे शयाने; पानीयार्थे चोदितेनार्जुनेन। भूमिं भित्त्वा तर्पितं तत्र भीष्मं; तदा नाशंसे विजयाय संजय।
01001129,यदाश्रौषं शुक्रसूर्यौ च युक्तौ; कौन्तेयानामनुलोमौ जयाय। नित्यं चास्माञ्श्वापदा व्याभषन्त;स्तदा नाशंसे विजयाय संजय।
01001130,यदा द्रोणो विविधानस्त्रमार्गा;न्विदर्शयन्समरे चित्रयोधी। न पाण्डवाञ्श्रेष्ठतमान्निहन्ति; तदा नाशंसे विजयाय संजय।
01001131,यदाश्रौषं चास्मदीयान्महारथा;न्व्यवस्थितानर्जुनस्यान्तकाय। संशप्तकान्निहतानर्जुनेन; तदा नाशंसे विजयाय संजय।
01001132,यदाश्रौषं व्यूहमभेद्यमन्यै;र्भारद्वाजेनात्तशस्त्रेण गुप्तम्। भित्त्वा सौभद्रं वीरमेकं प्रविष्टं; तदा नाशंसे विजयाय संजय।
01001133,यदाभिमन्युं परिवार्य बालं; सर्वे हत्वा हृष्टरूपा बभूवुः। महारथाः पार्थमशक्नुवन्त;स्तदा नाशंसे विजयाय संजय।
01001134,यदाश्रौषमभिमन्युं निहत्य; हर्षान्मूढान्क्रोशतो धार्तराष्ट्रान्। क्रोधं मुक्तं सैन्धवे चार्जुनेन; तदा नाशंसे विजयाय संजय।
01001135,यदाश्रौषं सैन्धवार्थे प्रतिज्ञां; प्रतिज्ञातां तद्वधायार्जुनेन। सत्यां निस्तीर्णां शत्रुमध्ये च तेन; तदा नाशंसे विजयाय संजय।
01001136,यदाश्रौषं श्रान्तहये धनंजये; मुक्त्वा हयान्पाययित्वोपवृत्तान्। पुनर्युक्त्वा वासुदेवं प्रयातं; तदा नाशंसे विजयाय संजय।
01001137,यदाश्रौषं वाहनेष्वाश्वसत्सु; रथोपस्थे तिष्ठता गाण्डिवेन। सर्वान्योधान्वारितानर्जुनेन; तदा नाशंसे विजयाय संजय।
01001138,यदाश्रौषं नागबलैर्दुरुत्सहं; द्रोणानीकं युयुधानं प्रमथ्य। यातं वार्ष्णेयं यत्र तौ कृष्णपार्थौ; तदा नाशंसे विजयाय संजय।
01001139,यदाश्रौषं कर्णमासाद्य मुक्तं; वधाद्भीमं कुत्सयित्वा वचोभिः। धनुष्कोट्या तुद्य कर्णेन वीरं; तदा नाशंसे विजयाय संजय।
01001140,यदा द्रोणः कृतवर्मा कृपश्च; कर्णो द्रौणिर्मद्रराजश्च शूरः। अमर्षयन्सैन्धवं वध्यमानं; तदा नाशंसे विजयाय संजय।
01001141,यदाश्रौषं देवराजेन दत्तां; दिव्यां शक्तिं व्यंसितां माधवेन। घटोत्कचे राक्षसे घोररूपे; तदा नाशंसे विजयाय संजय।
01001142,यदाश्रौषं कर्णघटोत्कचाभ्यां; युद्धे मुक्तां सूतपुत्रेण शक्तिम्। यया वध्यः समरे सव्यसाची; तदा नाशंसे विजयाय संजय।
01001143,यदाश्रौषं द्रोणमाचार्यमेकं; धृष्टद्युम्नेनाभ्यतिक्रम्य धर्मम्। रथोपस्थे प्रायगतं विशस्तं; तदा नाशंसे विजयाय संजय।
01001144,यदाश्रौषं द्रौणिना द्वैरथस्थं; माद्रीपुत्रं नकुलं लोकमध्ये। समं युद्धे पाण्डवं युध्यमानं; तदा नाशंसे विजयाय संजय।
01001145,यदा द्रोणे निहते द्रोणपुत्रो; नारायणं दिव्यमस्त्रं विकुर्वन्। नैषामन्तं गतवान्पाण्डवानां; तदा नाशंसे विजयाय संजय।
01001146,यदाश्रौषं कर्णमत्यन्तशूरं; हतं पार्थेनाहवेष्वप्रधृष्यम्। तस्मिन्भ्रातॄणां विग्रहे देवगुह्ये; तदा नाशंसे विजयाय संजय।
01001147,यदाश्रौषं द्रोणपुत्रं कृपं च; दुःशासनं कृतवर्माणमुग्रम्। युधिष्ठिरं शून्यमधर्षयन्तं; तदा नाशंसे विजयाय संजय।
01001148,यदाश्रौषं निहतं मद्रराजं; रणे शूरं धर्मराजेन सूत। सदा संग्रामे स्पर्धते यः स कृष्णं; तदा नाशंसे विजयाय संजय।
01001149,यदाश्रौषं कलहद्यूतमूलं; मायाबलं सौबलं पाण्डवेन। हतं संग्रामे सहदेवेन पापं; तदा नाशंसे विजयाय संजय।
01001150,यदाश्रौषं श्रान्तमेकं शयानं; ह्रदं गत्वा स्तम्भयित्वा तदम्भः। दुर्योधनं विरथं भग्नदर्पं; तदा नाशंसे विजयाय संजय।
01001151,यदाश्रौषं पाण्डवांस्तिष्ठमाना;न्गङ्गाह्रदे वासुदेवेन सार्धम्। अमर्षणं धर्षयतः सुतं मे; तदा नाशंसे विजयाय संजय।
01001152,यदाश्रौषं विविधांस्तात मार्गा;न्गदायुद्धे मण्डलं संचरन्तम्। मिथ्या हतं वासुदेवस्य बुद्ध्या; तदा नाशंसे विजयाय संजय।
01001153,यदाश्रौषं द्रोणपुत्रादिभिस्तै;र्हतान्पाञ्चालान्द्रौपदेयांश्च सुप्तान्। कृतं बीभत्समयशस्यं च कर्म; तदा नाशंसे विजयाय संजय।
01001154,यदाश्रौषं भीमसेनानुयातेन; अश्वत्थाम्ना परमास्त्रं प्रयुक्तम्। क्रुद्धेनैषीकमवधीद्येन गर्भं; तदा नाशंसे विजयाय संजय।
01001155,यदाश्रौषं ब्रह्मशिरोऽर्जुनेन; मुक्तं स्वस्तीत्यस्त्रमस्त्रेण शान्तम्। अश्वत्थाम्ना मणिरत्नं च दत्तं; तदा नाशंसे विजयाय संजय।
01001156,यदाश्रौषं द्रोणपुत्रेण गर्भे; वैराट्या वै पात्यमाने महास्त्रे। द्वैपायनः केशवो द्रोणपुत्रं; परस्परेणाभिशापैः शशाप।
01001157,शोच्या गान्धारी पुत्रपौत्रैर्विहीना; तथा वध्वः पितृभिर्भ्रातृभिश्च। कृतं कार्यं दुष्करं पाण्डवेयैः; प्राप्तं राज्यमसपत्नं पुनस्तैः।
01001158,कष्टं युद्धे दश शेषाः श्रुता मे; त्रयोऽस्माकं पाण्डवानां च सप्त। द्व्यूना विंशतिराहताक्षौहिणीनां; तस्मिन्संग्रामे विग्रहे क्षत्रियाणाम्।
01001159,तमसा त्वभ्यवस्तीर्णो मोह आविशतीव माम्। संज्ञां नोपलभे सूत मनो विह्वलतीव मे।
01001160,इत्युक्त्वा धृतराष्ट्रोऽथ विलप्य बहुदुःखितः। मूर्च्छितः पुनराश्वस्तः संजयं वाक्यमब्रवीत्।
01001161,संजयैवंगते प्राणांस्त्यक्तुमिच्छामि माचिरम्। स्तोकं ह्यपि न पश्यामि फलं जीवितधारणे।
